"state","age","sex","race",counts
"AZ","18-24","F","Black",872
"AZ","18-24","F","Asian",596
"AZ","18-24","F","White",36632
"AZ","18-24","F","Latino",33756
"AZ","18-24","F","Na-Am",1215
"AZ","18-24","F","Unk",4236
"AZ","18-24","M","Black",808
"AZ","18-24","M","Asian",504
"AZ","18-24","M","White",30994
"AZ","18-24","M","Latino",31043
"AZ","18-24","M","Na-Am",1109
"AZ","18-24","M","Unk",3496
"AZ","18-24","U","Black",1654
"AZ","18-24","U","Asian",670
"AZ","18-24","U","White",23275
"AZ","18-24","U","Latino",13757
"AZ","18-24","U","Na-Am",1481
"AZ","18-24","U","Unk",2925
"AZ","25-34","F","Black",2180
"AZ","25-34","F","Asian",725
"AZ","25-34","F","White",72597
"AZ","25-34","F","Latino",47828
"AZ","25-34","F","Na-Am",3510
"AZ","25-34","F","Unk",7023
"AZ","25-34","M","Black",1667
"AZ","25-34","M","Asian",659
"AZ","25-34","M","White",61538
"AZ","25-34","M","Latino",39549
"AZ","25-34","M","Na-Am",2918
"AZ","25-34","M","Unk",5584
"AZ","25-34","U","Black",1473
"AZ","25-34","U","Asian",447
"AZ","25-34","U","White",14030
"AZ","25-34","U","Latino",6114
"AZ","25-34","U","Na-Am",1339
"AZ","25-34","U","Unk",2186
"AZ","35-49","F","Black",2759
"AZ","35-49","F","Asian",1072
"AZ","35-49","F","White",94029
"AZ","35-49","F","Latino",46471
"AZ","35-49","F","Na-Am",4232
"AZ","35-49","F","Unk",8988
"AZ","35-49","M","Black",1867
"AZ","35-49","M","Asian",822
"AZ","35-49","M","White",68436
"AZ","35-49","M","Latino",34633
"AZ","35-49","M","Na-Am",3235
"AZ","35-49","M","Unk",6514
"AZ","35-49","U","Black",1080
"AZ","35-49","U","Asian",658
"AZ","35-49","U","White",8883
"AZ","35-49","U","Latino",2940
"AZ","35-49","U","Na-Am",754
"AZ","35-49","U","Unk",1915
"AZ","50-64","F","Black",2325
"AZ","50-64","F","Asian",856
"AZ","50-64","F","White",108436
"AZ","50-64","F","Latino",35785
"AZ","50-64","F","Na-Am",4191
"AZ","50-64","F","Unk",7799
"AZ","50-64","M","Black",1597
"AZ","50-64","M","Asian",739
"AZ","50-64","M","White",71787
"AZ","50-64","M","Latino",30652
"AZ","50-64","M","Na-Am",3027
"AZ","50-64","M","Unk",5729
"AZ","50-64","U","Black",426
"AZ","50-64","U","Asian",448
"AZ","50-64","U","White",4747
"AZ","50-64","U","Latino",1398
"AZ","50-64","U","Na-Am",218
"AZ","50-64","U","Unk",1117
"AZ","65+","F","Black",1591
"AZ","65+","F","Asian",486
"AZ","65+","F","White",132101
"AZ","65+","F","Latino",25507
"AZ","65+","F","Na-Am",2704
"AZ","65+","F","Unk",6050
"AZ","65+","M","Black",1050
"AZ","65+","M","Asian",436
"AZ","65+","M","White",86431
"AZ","65+","M","Latino",22538
"AZ","65+","M","Na-Am",1811
"AZ","65+","M","Unk",4559
"AZ","65+","U","Black",201
"AZ","65+","U","Asian",251
"AZ","65+","U","White",3682
"AZ","65+","U","Latino",874
"AZ","65+","U","Na-Am",91
"AZ","65+","U","Unk",716
"AZ","Unk","F","Black",47
"AZ","Unk","F","Asian",49
"AZ","Unk","F","White",2124
"AZ","Unk","F","Latino",2175
"AZ","Unk","F","Na-Am",31
"AZ","Unk","F","Unk",247
"AZ","Unk","M","Black",38
"AZ","Unk","M","Asian",37
"AZ","Unk","M","White",1464
"AZ","Unk","M","Latino",1768
"AZ","Unk","M","Na-Am",28
"AZ","Unk","M","Unk",179
"AZ","Unk","U","Black",120
"AZ","Unk","U","Asian",71
"AZ","Unk","U","White",1565
"AZ","Unk","U","Latino",1241
"AZ","Unk","U","Na-Am",52
"AZ","Unk","U","Unk",204
"FL","18-24","F","Black",83370
"FL","18-24","F","Asian",8563
"FL","18-24","F","White",91004
"FL","18-24","F","Latino",77370
"FL","18-24","F","Na-Am",924
"FL","18-24","F","Unk",15054
"FL","18-24","M","Black",68475
"FL","18-24","M","Asian",6139
"FL","18-24","M","White",60358
"FL","18-24","M","Latino",58855
"FL","18-24","M","Na-Am",770
